text,label
你能考明白个蛋,0
都能被鳄鱼咬死,0
天天就知道游戏,0
没谁了,0
那你也没说考啥啊,0
这游戏群我肯定认为是游戏啊,3
废物,0
这是哥啊！还是姐啊！,2
张姐的电刺判定范围是什么鬼,2
很大,3
我起百万m7进局看的队友qcq17的威龙直接就释怀了,0
有我这个恨吗,0
暴力锁头挂,0
这啥玩意，AUG吗,2
这个产品真的很好用,1
客服态度特别好,1
物流很快,1
这个功能太方便了,1
体验非常不错,1
嗯呢,3
不是你妈135星,0
正常,3
这大哥有点狠啊！,3
这个游戏该怎么撤离呢,0
我跑机密航天都出不来,0
一局塞满保险才吃一百多万,0
卡战备进去跑刀容易匹配同行,3
队友是同行敌人还有好几个威龙,0
用了几天感觉效果不错，挺满意的,1
整体体验很好，下次还会再买,1
这个设计真的很贴心，用起来很方便,1
客服态度特别好，沟通起来很舒服,1
质量比我预期的要好很多,1
价格不贵但是质量很好，性价比很高,1
航天玩不玩,2
现在吗,2
是的,3
有人就玩玩,3
你是没睡么,2
我肯定是睡醒了啊,3
我不在他队伍里,3
所以经典没人,3
我怎么记得你半夜还没睡,3
上号啊 怎么都凑的出三个人啊,3
你俩有一个在线吗,2
猜猜看我为啥这么说,2
你俩有一个在线吗,2
我已放弃,0
猜猜看我为啥这么说,2
我已放弃,0
皮蛋这种抖M叫他没用,3
我已经私聊把他骂爽了,3
这个产品用起来真的很舒服，体验比我想象的还要好,1
客服回复很及时，问题很快就解决了,1
物流速度非常快，第二天就收到了,1
包装做得很用心，看起来很有品质,1
他马上到,3
起床了,3
看吧,3
到底谁玩,2
你们也不在线啊,0
你们也不在线啊,0
人呢？,0
wcnm,0
又只有我上当上线了？,0
谁三角洲,3
你不说我以为是格调呢,3
你为什么还不睡觉,2
啥时候给我吃点,2
睡醒,3
刚去朋友仓库,3
我有,3
拿了他的威小龙,3
哈哈哈哈,1
那次打监狱出的,3
朋友给我的,3
我没有,3
谁耍,2
撞车撞给我的,3
谁能给我撞个拉小宅呀,2
我没有啦小宅,3
你的好全,3
可惜了,0
这个,3
怎么搞,3
打死别人就行,3
别人玩赛依德,3
我打死他？,0
打死了按9,3
搜盒子出来的,3
赤霄夹层是个好东西,1
上面那些,3
克小圈给芒果核了,3
我之前都还没开始玩这游戏,3
阿米娅给另外一个妹妹了之前,3
麦小蛋,3
能给我吗,2
大刀哥,3
蓝小灯没出过,0
谁粥粥 懂感恩 舔完包舔嫂子,2
我懒得撞,0
你去给我吃点,3
我对象上你号,3
扫码,3
现在扫吗,3
是滴,1
赤霄不给你,3
麦小蛋可以,3
谁粥,2
将军房,3
我要海洋之泪快点撞车给我,3
做梦,3
我也想要海洋之泪,3
我要海洋之泪快点撞车给我,3
汤圆给我跑跑刀行吗,2
我没钱了,0
海洋之泪也进不去啊,3
扫 等下自己领取一仓库格调,3
我可以去跑刀赚钱了,0
真的吗,3
对啊,3
这机密长工,3
狗屎汤圆,0
给我跑跑试试,3
咋嫩肥,2
没杀人？,2
杀了,3
长工吃这么多啊,3
杀人那没事了,3
我以为你跑的呢,3
杀人我长工最多一把吃过2000万,1
什么时候和我玩,2
今天什么时候,2
你要和我玩这些本来都是你的,3
都是你的,3
用了之后感觉确实挺好用的,1
朋友推荐的，结果真的没有让我失望,1
做工很精致，看得出来很用心,1
体验了一段时间，目前非常满意,1
操作很简单，上手很快,1
我真是太开心了,1
你真觉得我太开心了吗,0
我真讨厌这个鬼玩意,0
我的队友玩的也太菜了,0
对面这么强我们怎么玩啊,0
烦死了我买到假货了,0
这个产品真是太好用了,1
客服把我的问题全都解决了,1
轻舟很骚,3
